Paper_ID,Title,Dataset_Name,Dataset_Public_Availability,Dataset_Real_Simulated,Dataset_Size,Train_Validation_Test_Split,Input_Resolution,Target_Resolution,Input_Field_Strength,Target_Field_Strength,Field_Pathway,MRI_Sequence,MRI_Contrast,Paired_Unpaired,Ground_Truth_Type,Ground_Truth_Source,Low_Field_Data_Provenance,Evidence_Page,Evidence_Section,Evidence_Summary,Dataset_Evidence_Status,Evidence_Source,DOI
32,Deep learning-based single image super-resolution for low-field MR brain images,Public NYU fastMRI brain data plus two real low-field brain scans from healthy volunteers,Mixed,Mixed,"29,059 training image pairs; 10,000 validation pairs; 7,292 test pairs; 190,000 training patches; two real low-field 3D brain scans from two healthy volunteers","Patient-level split from fastMRI; 29,059 training pairs; original 17,292 validation pairs subdivided into 10,000 validation and 7,292 test",64 × 64 pixels for simulated/noisy LR training input; real low-field slices can differ in size,128 × 128 pixels for HR target/output,Training source images acquired at 1.5 T and 3 T then degraded to emulate low field; real test scanner described by O'Reilly et al. as 50 mT,"High-field source-derived/noise-free HR target; SR output is a post-processed low-field image, not a measured high-field scan",mixed,"Training: T1-weighted, T2-weighted and FLAIR; real low-field: turbo spin echo",T1; T2; FLAIR; real low-field TSE contrasts,Paired by construction,Synthetic degradation/proxy,Noise-free 128 × 128 high-resolution image derived from public fastMRI data,Mixed — model training uses simulated low-field-like LR images generated from 1.5/3 T data; testing includes real approximately 50 mT scans,"1,3,5,8-9",Abstract; imaging model; Dataset; low-field acquisition,Dataset: Mixed; availability: Mixed; pairing: Paired by construction; ground truth: Synthetic degradation/proxy.,Full text,Full-text article or supplied publisher text,10.1038/s41598-022-10298-6
33,Deep learning for fast low-field MRI acquisitions,In-house 0.1 T wrist/hand MRI dataset,Private,Real,"10 fully sampled 3D scans for training/validation (8 train, 2 validation); 6 additional retrospective test scans; 6 separate prospective test scans",80% (8 sets) training / 20% (2 sets) validation; 6 retrospective test sets and 6 prospective test sets,Acquired 128 × 115 × 9; zero-filled network input 128 × 128 × 9; voxel size 1.2 × 1.2 × 6.3 mm,Fully sampled 128 × 128 × 9 reconstruction grid after zero filling; voxel size 1.2 × 1.2 × 6.3 mm,0.1 T,0.1 T same-acquisition fully sampled reference,low-field → low-field,3D spoiled gradient echo (GRE),Complex magnitude and phase GRE data,Paired by construction,Measured same-subject reference,Fully sampled 0.1 T acquisition corresponding to retrospectively undersampled input; prospective undersampled acquisitions evaluated separately,Real low-field data at 0.1 T; retrospective and prospectively acquired undersampling are both evaluated,"1-2,7,11",Abstract; Low-field data; Prospective study; Data availability,Dataset: Real; availability: Private; pairing: Paired by construction; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1038/s41598-022-14039-7
34,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,Prospective single-center prostate MRI cohort; proprietary Precise-Image-Net pretraining corpus,Private,Real,109 male participants with suspected prostate cancer; Precise-Image-Net previously trained on 6 million HR/downscaled image pairs,Prospective 109-participant evaluation cohort; training split of the proprietary 6-million-pair corpus Not reported,T2DL acquired 0.6 × 0.7 × 3 mm; T2C 0.46 × 0.51 × 3 mm; T2NC 0.49 × 0.49 × 3 mm,Reconstructed: T2DL 0.16 × 0.16 × 3 mm; T2C 0.16 × 0.16 × 3 mm; T2NC 0.35 × 0.35 × 3 mm,3.0 T,3.0 T,standard/high-field only,T2-weighted turbo spin-echo (Cartesian and non-Cartesian),T2-weighted prostate MRI,Paired,Measured same-subject reference,Standard-resolution Cartesian/non-Cartesian T2-weighted sequences acquired in the same participants,Real high-field clinical data only; no low-field acquisition or low-field simulation,"1-3,9",Abstract; MRI Protocol; DL framework; limitations,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.1148/radiol.230427
35,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,Paired 64 mT Hyperfine and 3 T Siemens structural MRI in a community sample of young people,Private,Real,70 individuals aged 9–26 years,No study-specific model training split; pretrained SynthSR is applied to the paired cohort,64 mT: 1.6 × 1.6 × 5 mm,3 T: 0.8 × 0.8 × 0.8 mm; SynthSR predicts 1 mm isotropic MP-RAGE-like output,64 mT,3 T measured same-subject reference; SynthSR output is synthetic 1 mm isotropic,low-field → standard/high-field,T1-weighted and T2-weighted structural MRI,T1; T2,Paired,Measured same-subject reference,3 T Siemens scans from the same individuals used for morphometric correspondence comparisons,Real low-field data at 64 mT; current study applies a pretrained SynthSR model rather than training on the cohort,"1,3,12-13",Abstract; MRI acquisition; Data availability; Code availability,Dataset: Real; availability: Private; pairing: Paired; ground truth: Measured same-subject reference.,Full text,Full-text article or supplied publisher text,10.3389/fneur.2024.1339223
36,MRI Super-Resolution With Ensemble Learning and Complementary Priors,NYU fastMRI singlecoil knee dataset,Public,Real,"159 patient scans / 5,744 slices for training+validation; 43 patient scans / 1,500 slices for testing",159 scans split 80% training / 20% validation; independent test: 43 scans,160 × 160 synthetic LR image before PLR enlargement (2-fold degradation from 320 × 320 HR),320 × 320,1.5 T or 3 T source acquisitions; LR generated synthetically from those scans,1.5 T or 3 T measured HR reference,standard/high-field only,Not reported,Proton-density weighted knee MRI,Paired by construction,Measured high-resolution reference,Original measured 320 × 320 fastMRI image; LR counterpart generated by k-space truncation,Simulated/downsampled standard/high-field data; no real low-field acquisition,"2,4,10",Methodology—Down-Sampling; Results—Experimental Implementation; Reference [43],Dataset: Real; availability: Public; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Full text,Full-text article or supplied publisher text,10.1109/tci.2020.2964201
37,SRflow: Deep learning based super-resolution of 4D-flow MRI data,Synthetic cerebrovascular CFD data; in vivo cerebrovascular 4D-flow MRI; in vivo cardiovascular 4D-flow MRI,Private,Mixed,"6 synthetic cerebrovascular subjects; 24 in vivo datasets (21 cardiovascular, 3 cerebrovascular)","Synthetic: three folds, 5 subjects/120 samples train and 1 subject/24 samples validation per fold; in vivo cardiovascular fine-tuning: 17 subjects train and 4 validation; cross-domain evaluation on cerebrovascular data","LR patches: 24×24×12×3 (2×), 16×16×8×3 (3×), 12×12×6×3 (4×); acquired in vivo spatial resolution 0.82 mm isotropic cerebrovascular and 2.1–2.5 mm cardiovascular","HR patch 48×48×24×3; acquired reference spatial resolution 0.82 mm isotropic cerebrovascular, 2.1–2.5 mm cardiovascular; synthetic reference 0.25 mm isotropic",1.5 T Siemens Avanto cardiovascular; 3 T Philips Achieva TX cerebrovascular; synthetic CFD has no scanner field strength,Same measured 1.5 T/3 T high-resolution reference volumes used to construct LR pairs; CFD simulation reference for synthetic data,standard/high-field only,4D-flow MRI / phase-contrast flow MRI,Velocity-encoded phase plus magnitude; no contrast agent,Paired by construction,Mixed reference,Acquired 4D-flow volume is treated as HR reference for in vivo data; CFD velocity field is the synthetic reference,Simulated/downsampled standard/high-field MRI plus CFD simulation; no real low-field MRI,"6-8,12-13",2.4 Datasets; Table 1; 2.5 Data preparation; 3.1-3.2 Experiments; Table 5; Data availability,Dataset: Mixed; availability: Private; pairing: Paired by construction; ground truth: Mixed reference.,Full text,Full-text article or supplied publisher text,10.3389/frai.2022.928181
38,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,SMORE simulation and acquired-LR experiments (MS T2-weighted; acquired T2 FLAIR; marmoset PD),Not reported,Mixed,14 T2-weighted human images for simulation; 33 acquired T2 FLAIR images; 1 acquired marmoset PD image,Self-supervised subject/image-specific training; conventional train/validation/test split Not reported,Simulation: HR 1×1×1 mm degraded through-plane by factors r=2–6; acquired human LR: 0.828×0.828×4.4 mm; marmoset LR: 0.15×0.15×1 mm,Simulation reference: 1×1×1 mm; acquired human output: 0.828 mm isotropic; marmoset super-resolved output resolution not explicitly quantified in the text reviewed,3 T Philips Achieva for the 14-image simulation source; field strength Not reported for the 33 acquired FLAIR images and marmoset image,3 T for the measured simulation reference; no measured HR target exists for the acquired-LR experiments,Unclear,3D and 2D structural MRI protocols,T2-weighted; T2 FLAIR; proton-density,Mixed,Mixed reference,Original 1 mm isotropic 3 T T2-weighted images for simulated experiments; acquired-LR experiments explicitly have no HR ground truth,Unclear — no real low-field magnetic-field strength is reported for the acquired LR data; 'LR' is spatial-resolution terminology,"1,6,9-12",Footnote; §III-A simulation; §III-B acquired LR; Fig. 9; §III-C marmoset; §III-D time; Discussion,Dataset: Mixed; availability: Not reported; pairing: Mixed; ground truth: Mixed reference.,Full text,Full-text article or supplied publisher text,10.1109/tmi.2020.3037187
39,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,Human Connectome Project (HCP) T1 MRI subset,Not reported,Not reported,"100 HCP subjects × 40 T1 slices = 4,000 images; testing uses another subject",100 subjects used to form the training dataset; a different additional subject is used for testing; validation split Not reported,"256 × 256 images with retrospectively undersampled k-space at 10%, 20%, 30%, 40%, and 50% radial sampling ratios",256 × 256 fully sampled T1 reference image,3 T customized Siemens Connectome Skyra,3 T customized Siemens Connectome Skyra,standard/high-field only,T1-weighted structural MRI,T1-weighted,Paired by construction,Measured high-resolution reference,Fully sampled 3 T HCP T1 image paired with retrospectively radial-under-sampled reconstruction,Simulated/undersampled 3 T data; no real low-field acquisition,1-3,§II-A Image Acquisition and Processing; radial measurement matrix; §III-A Training and Evaluation,Dataset: Not reported; availability: Not reported; pairing: Paired by construction; ground truth: Measured high-resolution reference.,Full text,Full-text article or supplied publisher text,10.1109/icmipe53131.2021.9698880
40,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,ViewRay 0.35 T volunteer MRI; 4D XCAT phantom; non-medical training images,Not reported,Mixed,"Training: 183 images (91 non-medical, 50 XCAT, 42 MRIs); real-MRI validation/evaluation uses 4 volunteers; XCAT experiment uses 200 virtual phantom images",Training: 91 non-medical + 50 XCAT + 42 MRI images; an additional 5 MRI images are used for a training/test check; multiple volunteer/XCAT datasets are used for evaluation; no validation split reported,"Training LR images are synthetically generated from original images at scale factors f=2–4; real MRI evaluation includes 128×128, 128×120, and 64×64 images",Training reference/original MRI includes 128×128 images; output spatial dimensions scale by the selected SR factor; no separately acquired HR target for real evaluation,0.35 T ViewRay MRIgRT for the real MRI component,0.35 T for original measured MRI used as the training reference; XCAT/non-medical data have no MRI field strength,low-field → low-field,Dynamic multislice 2D TrueFISP and GRASE,Not reported,Paired by construction,Mixed reference,Original images are used as ground truth; LR images are generated from originals. XCAT images provide simulation references.,Uses real 0.35 T low-field MRI and synthetic degradation; 0.35 T is low-field for LMIC scoring but exceeds the 64 mT TR threshold,"1,6-7,10-11",Abstract; §IV-A Experimental Data; §IV-B Training; Table 3; §IV-E/Table 6; Discussion,Dataset: Mixed; availability: Not reported; pairing: Paired by construction; ground truth: Mixed reference.,Full text,Full-text article or supplied publisher text,10.1109/jtehm.2021.3076152
41,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,Not available,Not available,Not available,Not available,Not available,Not available,Not applicable,Not available,Not applicable,Not available,Not available,Not available,Not applicable,Not available,Not available,Not available,4-5,ScienceDirect section snippets; Results and discussion,Dataset: Not available; availability: Not available; pairing: Not applicable; ground truth: Not available.,Partial text,Full-text article or supplied publisher text,10.1016/j.bspc.2022.104395
42,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,Crystal Clean Brain Tumor MRI,Not reported,Not reported,"Unclear — paper describes approximately 10,000 images, but reported class counts (5,908 pituitary + 3,066 normal) and split counts total 8,974","Training 8,076 images; validation 763; test 135",Not reported,Not applicable,Not reported,Not applicable,not reported,Not reported,Not reported,Not applicable,Not reported,Dataset class labels (pituitary tumor vs normal); annotation provenance Not reported,Not reported,"1,3-5",Author affiliations; §III-A Dataset; §IV Results,Dataset: Not reported; availability: Not reported; pairing: Not applicable; ground truth: Not reported.,Full text,Full-text article or supplied publisher text,10.1109/icscna58489.2023.10370139
43,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,"Unclear — Methods identify Alzheimer's Disease Neuroimaging Initiative (ADNI), while the Acknowledgement credits a Kaggle brain-tumor MRI dataset",Unclear,Unclear,Not reported,Not reported,Not reported,Not applicable,1.5 T,Not applicable,standard/high-field only,Structural T1-weighted brain MRI,T1-weighted,Not applicable,Unclear,"Unclear — disease-status/class labels are used, but dataset-source and annotation provenance conflict or are not described",Real 1.5 T MRI is stated in Methods; no real low-field or simulated low-field data are reported,"1,4,9-12",Author affiliations; §3 Material and methods; Results; Acknowledgement,Dataset: Unclear; availability: Unclear; pairing: Not applicable; ground truth: Unclear.,Full text,Full-text article or supplied publisher text,10.1016/j.measurement.2020.108838
44,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,"Kaggle brain tumor MRI dataset combining figshare, SARTAJ and Br35H",Public,Not reported,"3,160 images overall","Unclear — paper states 80%/20% and also reports 2,528 train + 623 test, while class-level counts imply 2,529 train + 631 test; these do not agree",256 × 256 × 3 after preprocessing,Not applicable,Not reported,Not applicable,not reported,Not reported,Not reported,Not applicable,Not reported,"Dataset class labels (glioma, meningioma, no_tumor, pituitary); annotation provenance Not reported",Not reported,"1,5-6,8",Author affiliations; §4.1 Dataset/Table 2; §4.2 Training; Conclusions; Ref. 36,Dataset: Not reported; availability: Public; pairing: Not applicable; ground truth: Not reported.,Full text,Full-text article or supplied publisher text,10.18280/ts.400329
45,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,Cardiac cine training data and dynamic contrast-enhanced first-pass perfusion MRI evaluation data,Not available,Real,"35 DCE perfusion subjects evaluated (14 coronary artery disease, 8 hypertrophic cardiomyopathy, 13 healthy volunteers); training cine dataset size Not available",Not available,Not available,Not applicable,Not available,Not applicable,not available,Cardiac cine MRI for model training; dynamic first-pass perfusion MRI for evaluation,Dynamic contrast-enhanced first-pass perfusion MRI with extracellular contrast agent; cine contrast Not available,Not applicable,Not available,Not available,Not available,2-5,Abstract; Introduction; Methods section snippet; Discussion,Dataset: Real; availability: Not available; pairing: Not applicable; ground truth: Not available.,Partial text,Full-text article or supplied publisher text,10.1016/j.cmpb.2019.105150
